name,rating
Vaidy Sunderam,3.3
Geraldine Higgins,3.4
Kristen Williams,1.0
Laura Finzi,1.9
Vilma Todri,3.8
Loren Mortimer,1.0
Julien Dahan,5.0
Jeff Rummel,3.6
Margy Adams,5.0
Hugh Cohen,3.8
Chris Eagle,4.3
Joseph Skibell,3.1
Irene Brown,4.3
Walter Rucker,4.7
Jason McLarty,4.4
Michael Treadway,4.5
Mark Fagiano,4.5
Julie Schwartz,3.3
Nirmalya Thakur,4.9
Cynthia Blakeley,5.0
Diedrich Stout,4.3
Alix Chapman,4.8
Brett Gadsden,4.0
Francesco Evangelista,2.4
Alyasah Sewell,3.2
Barbara Lawatsch-Melton,5.0
Deepika Bahri,4.5
Erika Hall,4.8
Levin Arnsperger,2.0
Rustom Antia,4.0
Sima Ahsani,2.6
Christopher Merwin,5.0
Erwin Rosinberg,4.9
Dennis Liotta,3.5
Walter Reed,3.8
Sa'ed Atshan,4.7
Caroline Owens,5.0
Stu Marvel,5.0
Christina Crawford,4.8
Suyun Choi,4.7
Bradley Elliott,4.7
Shel Swenson,2.4
Daniel Weissman,2.5
Jessica Dugan,3.6
Gregory Sasso,1.7
John Witte,4.2
Taehyun Kim,4.0
Yu Lin,4.0
Aubrey Kelly,4.9
Philippe Rochat,3.1
Stella Lourenco,4.4
Mitch Murray,3.3
Bumyong Choi,4.3
Wen Loh,5.0
Difeng Cai,4.3
Yawei Liu,2.5
Lucy Wallitsch,5.0
James Callahan,4.8
Justin Esarey,3.3
Ariana Brown,3.0
Dwight Duffus,4.3
Kaelin Cook-Powell,3.8
Kadji Amin,5.0
John Lysaker,4.6
Daniel Coppeto,4.9
Melissa Cox,4.8
Leila Rieder,4.7
Lei Fang,4.3
Weirong Guo,5.0
Elizabeth Wilson,4.4
Peter Roberts,3.3
Steve Del Visco,5.0
Joe Conway,4.5
Don Seeman,4.3
C. Campbell,3.7
Wisdom Takumah,5.0
Minami Hyodo,5.0
Rika Nakano,3.1
Raquel Belden,5.0
Bruce Knauft,3.2
Timothy Messen,3.0
Begona Claveria,4.7
Myra Woodworth-Hobbs,3.8
Gary Vestal,5.0
Peter Wilkin,5.0
Justin Short,3.7
Scott Blanck,4.5
Ruixue Zhang,3.4
Nicole Vega,4.0
Kaushik Mukhopadhaya,1.8
Mikhael Epstein,5.0
Joe Camoosa,4.0
Ryan Hobbs,5.0
Christoph Herpfer,4.3
Kent Still,3.3
Berry Brosi,3.4
Matthew Lyle,3.0
Conor McNally,4.0
Yoojin Cho,5.0
Cassidy Puckett,3.2
Alexandra Manta,3.2
Marion Tricoire,4.0
Daniel Sussman,5.0
Laura Hunt,5.0
Adrienne Ivey,4.0
Yuichi Asano,5.0
Kieth Easterling,2.9
Ilya Nemenman,3.6
Alejandra Franco,5.0
Mark Risjord,5.0
Nathan Lee,5.0
Donald McManus,4.5
Robyn Schiff,4.6
Lisa Paulsen,4.5
Tyler Thomas,4.8
Hank Klibanoff,4.2
Gregory Gabriel,4.5
Nathan Suhr-Sytsma,4.0
Sarah Wolber,1.5
Allen Tullos,4.2
Debjani Sihi,4.7
Jasminka Ninkovic,4.0
Katherine Harrington,4.5
Cynthia Michota,2.0
Li Xiong,5.0
Brandy Hughes,5.0
Ben Miller,4.0
Roselyne Gerazime,4.8
Yidan Zhang,1.0
Steve Visco,5.0
Dave Gorkin,5.0
Ninon Vessier,5.0
Nathaniel Silverblatt,5.0
Yukari Shinagawa,4.8
Martin Van der Linden,3.8
Todd Qualls,5.0
Jeffrey Yelton,2.6
Dana Catherine,4.8
Jared Millson,4.5
Laura Otis,4.6
Alison Cohen,4.5
Ian Wagner,5.0
Roxani Margariti,4.2
Suresh Venapally,4.3
Sarah Markowitz,3.3
Lukas Ovrom,5.0
Nikolay Koposov,4.6
Erin Sells,2.2
Nathan Lee,5.0
Elaine Penagos,5.0
Matthew Gunning,2.0
Thomas Flynn,4.9
Keith Robinson,4.0
Rhiannon Evangelista,3.2
Kelsey Bohlke,4.0
Matthew Segall,4.0
Daphne Norton,1.7
Rebecca Stone,4.9
Marta Jimenez,4.4
Kelly Duquette,4.8
Jesse Bockstedt,4.7
Seunghwa Rho,4.4
Thomas Abelew,2.0
Emily Banks,4.5
Michael Cerchia,5.0
Tesla Cariani,5.0
Rob Barracano,4.0
Joseph Fritsch,4.9
Jareema Hylton,1.3
Kevin Corrigan,4.4
James Melton,4.6
Sun-Chul Kim,3.5
Elinore Darzi,4.3
Anne Corbitt,5.0
Levin Arnsperger,5.0
Andrea Warmack,5.0
Jackson Morrow,4.0
Daniel Waggoner,3.8
Nicole Guidotti,3.0
Aryabrata Basu,0.0
Kristen Frenzel,4.1
Sean Dolan,4.8
Aaron Mayer,2.5
David Howard,4.7
Maya Marshall,4.3
Yolanda Franklin,1.3
Samuel Chang,1.0
Justin Hosbey,4.5
Yu Tian,3.5
John Heemstra,4.5
Christina Tzeng,4.9
Jay Shanken,4.0
Ruixuan Liu,2.9
Sara Saba,4.3
Kenneth Hornbeck,4.7
Jericho Brown,2.4
Jeffrey Busse,4.5
Savannah Post,1.0
Umberto Mignozzetti,4.3
George Luber,4.0
Vincent Bornert,5.0
Melvin Konner,3.5
Juan Rubio-Ramirez,3.2
Cynthia Patterson,2.7
Seba Boersma,3.5
Katie Schank,3.5
Donna Maney,3.4
Michael Page,4.0
Axel Presas,4.7
Sarah Harsh,3.9
Natalia Bueno,3.0
Belen Pueyo-Ibanez,5.0
Christoph Breunig,2.2
Irving Martinez,2.3
Lauren Highsmith,5.0
Monica Garcia Blizzard,3.7
Caroline Warren,4.7
David Borthwick,4.2
Joey Reiman,3.1
Paul Weiss,1.8
Jane Hershman,5.0
Rosy Kandathil,3.7
Michelle Schreiber,4.5
Blake Allison,3.7
Lauren Klein,4.0
Lynne Nygaard,3.0
Katia Koelle,2.6
Xingjian Li,1.2
Peter Brown,3.7
Tressie Cottom,4.8
Gabriel Houck,5.0
Sergio Delgado Moya,1.0
Ymir Vigfusson,4.5
Nicholas Llewellyn,3.6
Francis Ittenbach,4.0
Timothy Albrecht,4.9
Michael Sullivan,4.2
Ken Ono,4.5
Alisha Bhimani,4.0
Dylanger Pittman,2.6
Michael Lucker,2.0
January LaVoy,5.0
Travis Sanchez,1.0
Bill Kelly,4.4
Brooke Ullery,5.0
Xochitl Marsilli-Vargas,5.0
Wei Huang,5.0
Connie Roth,3.9
Cynthia Guo,5.0
Ana Fauri,4.8
Emily Gade,5.0
Meina Yates-Richard,4.0
Tongil Kim,2.8
Morgan Ward,2.5
Judd Owens,3.3
Juan David Chacon,2.0
Leah Roesch,4.2
Arnaud Tcheutou,4.0
Carrie Wickham,3.9
Mikhail Epstein,3.6
Alexander Clifton,3.6
Jose Quiroga,2.8
Makiko Safigan,5.0
Tara Myers,5.0
Justin Haynes,3.0
Makenzie Fitzgerald,3.0
Mariana Candido,5.0
Horigan Ann,1.0
Robyn Fivush,3.7
Zeling He,4.0
Zhongjian Lin,4.0
Cecile Janssens,5.0
Sabrina Marcano,5.0
Alan Abramowitz,2.4
Kristian Blaich,4.9
Kirsten Travers-Uyham,5.0
Jareka Dellenbaugh,4.0
Thomas Rogers,4.4
Stephen Nowicki,4.0
Dustin Mengelkoch,4.6
Caroline Schaumann,5.0
Donghyun Jeong,4.0
Karen Ton,4.9
Avani Wildani,2.6
Saman Najmi,2.0
Rebecca Shasanmi Ellis,5.0
James Lu,5.0
Christina DePasquale,4.8
Julianna Watson,4.5
Carlos Ballesteros-Ruiz,4.7
Kristin Wendland,4.1
Whitney Easton,3.8
Ben Yonas,4.0
Margaret Matthews,4.3
Anne Hall,3.5
Michael Crutcher,4.1
Salmon Shomade,2.8
Lynn Bertrand,4.5
Jess Libow,5.0
Vishwanath Seshagiri,5.0
Austin Boese,4.0
Andrew Plattner,5.0
Laura Heath-Stout,5.0
Angelica So,4.1
Sarah (Sadie) Warren,5.0
Deborah Lipstadt,3.9
Warren Shull,2.1
Eric Tanenblatt,5.0
Anthony Healey,2.7
Jorge Lizarzaburu,4.5
Ahmed Siddiqi,4.5
Inyoung Chae,3.0
Joonna Trapp,5.0
Marcelo Sales,4.7
Cassie Gonzales,4.5
Sahar Voghoei,1.4
Changzheng Liu,5.0
Christopher Keyes,4.4
Teresa Davis,4.8
Abigail Droge,5.0
Kate Hawks,4.5
John D'Amico,4.2
